sku,name,price,category,source
LTD8516D,- ST,,,catalog_text.txt
CMIP3CD42WI-28AISP,SKU                                             CMIP3CD42WIB-28AISP                        CMIP3CD42WI-AISP                        CMIP3CD82WIB-28AISP                     CMIP3CD82WI-AISP,,,catalog_text.txt
CMIP3CD82WI-28AISP,SKU                                                                                              CMIP3CD42WI-28LAISP                                                      CMIP3CD82WI-28LAISP,,,catalog_text.txt
CMIP7CD42WI-28AISP,SKU                                                                CMIP7CD82WI-28AISP                                          CMIP8CD42WI-28AISP                              CMIP9CD42WI-28AISP                             CMIP9CD82WI-28AISP,,,catalog_text.txt
CMIP3C42WI-28MDA,CMIP3C82WI-28MDA,,,catalog_text.txt
CMIP3C42WI-MDA,SKU,,,catalog_text.txt
CMIP3C42NWB-28MDA,CMIP3C42WI-28SDL,,,catalog_text.txt
CMIP3C82WIB-28MDA,,,,catalog_text.txt
CMIP3C82WI-28SDL,,,,catalog_text.txt
CMIP7C42WI-28MDA,SKU                                                                                                    CMIP7C82WI-28MDA                                                CMIP7C43W-SDZ,,,catalog_text.txt
CMIP7C43WI-SDLQ,SKU                                                                                                  CMIP8C42WI-28MDA                                                      CMIP9C42WI-28MD,,,catalog_text.txt
CMIP7943WLPR-32R,SKU                                                      SKU                                     LTA-NHS120-P                       SKU                                       OutdoorBOX-03,,,catalog_text.txt
CMIP384PW-28SDL,SKU                                                                   CMIP398PW-2SDL                                  CMIP3C6PW-28SDL                                             CMIP3C8PW-SDL                                          CMIP9C8PW-SDL,,,catalog_text.txt
CMIP7553W4-SZ8,SKU                                                               CMIP7553W5-SZ8                            CMIP3743W2-DLZ                        SKU                                   CMIP7106F-SE                                         CMIP7112F-SE,,,catalog_text.txt
CMIP3342WI-28SDL,CMIP3382WI-28SDL,,,catalog_text.txt
CMIP3342WIB-28SDL,SKU                                                                                         CMIP3382WIB-28SDL,,,catalog_text.txt
CMIP3283W-SDZ,,,,catalog_text.txt
CMIP3142W-28SDA,SKU                                        -WIFI                   CMIP3162W-28SDA                         CMIP3182W-28SDA                     CMIP1C42W-28MDA                      CMIP1C42WB-28MDA,,,catalog_text.txt
CMIP7342WI-28MDA,SKU                                                                                                                                           CMIP7382WI-28MDA,,,catalog_text.txt
CMIP7243W-SDZ,SKU                                                                                                                                       CMIP7283W-SDZ,,,catalog_text.txt
CMIP9743W-SDZ,SKU                                                               CMIP9763W-SDZ                                CMIP9783W-SDZ                                CMIP9243W-SZ                           CMIP9342WI-28SDL                                CMIP9382WI-28SDL,,,catalog_text.txt
CMIP1342WE-28MDA,SKU                                                                                          CMIP1382NW-28MA                                       CMIP1382WE-28MDA,,,catalog_text.txt
