SKU,LTS Dealer Price,Sales Price (1.6x Markup),Profit per Item,Margin %
LTN8708D,349.00,558.40,209.40,37.5%
LTCMIP3C8PW,219.00,350.40,131.40,37.5%
LTCMHT1782W,69.00,110.40,41.40,37.5%
LTB781,49.00,78.40,29.40,37.5%
LTK3410MF,340.00,544.00,204.00,37.5%
LTA-SLB30,660.00,1056.00,396.00,37.5%
LTCMIP7382W,125.00,200.00,75.00,37.5%
LTCMIP3C82NW,199.00,318.40,119.40,37.5%
LTCMHT1722NW,39.00,62.40,23.40,37.5%
LXIP7542W,120.00,192.00,72.00,37.5%
LXIP3783W,369.00,590.40,221.40,37.5%
LTCMIP8382W,169.00,270.40,101.40,37.5%
LXIP1182W,109.00,174.40,65.40,37.5%
